"AssetId","Holder","File","Line","Snippet"
"111156188787000","500 Fate Coins","src/shared/ItemCatalog_unix.luau","944","coins_500 = { id = ""coins_500"", name = ""500 Fate Coins"", type = ""Currency"", image = ""rbxassetid://111156188787000"", iconText = ""F"", iconColor = Color3.fromRGB(255, 218, 48), robux = 99, tag = ""POPULAR"" },"
"111156188787000","80,000 Fate Coins","src/shared/ItemCatalog.luau","1625","coins_80000 = { id = ""coins_80000"", name = ""80,000 Fate Coins"", type = ""Currency"", image = ""rbxassetid://111156188787000"", iconText = ""F"", iconColor = Color3.fromRGB(255, 150, 24), robux = 800, productId = 3548924909, tag = """", coinsAmount = 80000 },"
"111156188787000","CoinImage","src/shared/ItemCatalog.luau","1597","ItemCatalog.CoinImage = ""rbxassetid://111156188787000"""
"111156188787000","CoinImage","src/shared/ItemCatalog_unix.luau","921","ItemCatalog.CoinImage = ""rbxassetid://111156188787000"""
"111628191491649","Nen X Killua Crown","src/shared/ItemCatalog.luau","1409","image = ""rbxassetid://111628191491649"","
"111628191491649","Nen X Killua Crown","src/shared/ItemCatalog.luau","1652","crown_nen_x_killua = { id = ""crown_nen_x_killua"", name = ""Nen X Killua Crown"", type = ""ExclusiveCrown"", rarity = ""Legendary"", image = ""rbxassetid://111628191491649"", iconText = """", iconColor = Color3.fromRGB(140, 200, 255), thumbnailBgColor = Color3.fromRGB(10, 18, 38), robux = 400, gamepassId = 1728821173, tag = ""EXCLUSIVE"", modelPath = ""ItemModels.Crowns.Exclusive.Nen X Killua Crown"" },"
"112640795485396","SPIN_ICON","src/shared/QuestRewardIconResolver.luau","11","local SPIN_ICON = ""rbxassetid://112640795485396"""
"113224946425402","Ultra Crown","src/shared/ItemCatalog.luau","1469","image = ""rbxassetid://113224946425402"","
"113224946425402","Ultra Crown","src/shared/ItemCatalog.luau","1656","crown_ultra = { id = ""crown_ultra"", name = ""Ultra Crown"", type = ""ExclusiveCrown"", rarity = ""Legendary"", image = ""rbxassetid://113224946425402"", iconText = """", iconColor = Color3.fromRGB(218, 48, 255), thumbnailBgColor = Color3.fromRGB(28, 15, 42), robux = 300, gamepassId = 1717864767, tag = ""EXCLUSIVE"", modelPath = ""ItemModels.Crowns.Exclusive.Ultra Crown"" },"
"113224946425402","Ultra Crown","src/shared/ItemCatalog_unix.luau","839","image = ""rbxassetid://113224946425402"","
